Fam PID1 PID2 TheoKinship
CO14 23 15 0.25
CO14 6 16 0.125
CO14 26 16 0.125
CO14 28 16 0.125
CO14 30 16 0.125
CO14 7 16 0.125
CO14 23 16 0.25
CO14 18 16 0.125
CO14 18 23 0.125
CO14 26 23 0.125
CO14 6 23 0.125
CO14 7 23 0.125
CO14 30 23 0.125
CO14 28 23 0.125
CO14 18 7 0.0625
CO14 6 7 0.125
CO14 28 7 0.0625
CO14 30 7 0.0625
CO14 26 7 0.25
CO14 18 26 0.0625
CO14 6 26 0.125
CO14 30 26 0.0625
CO14 28 26 0.0625
CO14 6 18 0.0625
CO14 28 18 0.0625
CO14 30 18 0.0625
CO14 28 6 0.0625
CO14 30 6 0.0625
CO14 30 28 0.0625
CO15 15 2 0.125
CO15 12 2 0.25
CO15 6 2 0.25
CO15 10 2 0.25
CO15 11 2 0.25
CO15 8 2 0.25
CO15 5 2 0.25
CO15 3 2 0.25
CO15 25 2 0.125
CO15 17 2 0.125
CO15 23 2 0.125
CO15 4 2 0.25
CO15 22 2 0.125
CO15 7 2 0.25
CO15 13 2 0.25
CO15 9 2 0.25
CO15 15 14 0.25
CO15 17 14 0.25
CO15 22 16 0.25
CO15 23 16 0.25
CO15 1 18 0.25
CO15 21 18 0.25
CO15 20 18 0.25
CO15 8 18 0.125
CO15 5 18 0.125
CO15 26 18 0.25
CO15 22 18 0.0625
CO15 25 18 0.125
CO15 12 18 0.125
CO15 6 18 0.125
CO15 13 18 0.125
CO15 3 18 0.125
CO15 24 18 0.125
CO15 15 18 0.0625
CO15 4 18 0.125
CO15 11 18 0.125
CO15 10 18 0.125
CO15 17 18 0.0625
CO15 7 18 0.125
CO15 23 18 0.0625
CO15 9 18 0.125
CO15 1 19 0.25
CO15 8 19 0.125
CO15 6 19 0.125
CO15 20 19 0.25
CO15 25 19 0.125
CO15 5 19 0.125
CO15 17 19 0.0625
CO15 3 19 0.125
CO15 23 19 0.0625
CO15 10 19 0.125
CO15 12 19 0.125
CO15 26 19 0.25
CO15 22 19 0.0625
CO15 13 19 0.125
CO15 24 19 0.125
CO15 4 19 0.125
CO15 9 19 0.125
CO15 11 19 0.125
CO15 15 19 0.0625
CO15 7 19 0.125
